place,date,Monthly_Generation_Electricity_CombustibleFuel,Monthly_Generation_Electricity_Nuclear,Monthly_Generation_Electricity_HydroelectricPumpedStorage,Monthly_Generation_Electricity_Geothermal,Monthly_Generation_Electricity
country/AUT,2003-12,2603,0,1925,31,5716
country/AUT,2003-10,2361,0,2737,36,5391
country/AUT,2003-11,2602,0,2051,31,5378
country/AUT,2002-07,927,0,3570,0,4805
country/AUT,2014-08,837,0,4590,322,5403
country/AUT,2014-05,938,0,4691,534,5818
country/AUT,2014-04,1019,0,3456,352,5737
country/AUT,2014-07,885,0,4180,340,5708
country/AUT,2014-06,847,0,4080,275,5524
country/AUT,2014-01,1818,0,2577,326,6762
country/AUT,2001-11,2455,0,2486,0,5444
country/AUT,2014-03,1287,0,2884,413,6254
country/AUT,2014-02,1485,0,2349,355,6144
country/AUT,2010-01,3117,0,2579,205,6603
country/AUT,2010-03,2422,0,2912,232,6336
country/AUT,2010-02,2868,0,2236,197,6026
country/AUT,2013-08,1069,0,3288,221,5610
country/AUT,2013-09,1243,0,3446,281,5656
country/AUT,2002-08,817,0,3880,0,4663
country/AUT,2012-02,2951,0,2798,320,6625
country/AUT,2015-11,2201,0,2176,497,6224
country/AUT,2013-05,909,0,5022,347,5515
country/AUT,2013-06,726,0,4325,346,5450
country/AUT,2015-12,2199,0,2199,264,6572
country/AUT,2002-02,2110,0,2480,0,4859
country/AUT,2002-03,2091,0,2962,0,5069
country/AUT,2013-02,2056,0,3257,267,6224
country/AUT,2013-03,1904,0,3256,395,6659
country/AUT,2000-01,2549,0,2642,0,5496
country/AUT,2000-02,2170,0,2954,0,5011
country/AUT,2000-03,2097,0,3436,0,5196
country/AUT,2000-04,1152,0,3671,0,4606
country/AUT,2000-05,676,0,4772,0,4516
country/AUT,2000-06,615,0,4285,0,4353
country/AUT,2000-07,715,0,3999,0,4536
country/AUT,2000-08,663,0,3943,0,4483
country/AUT,2012-07,967,0,4715,171,5624
country/AUT,2004-12,2779,0,2226,56,6042
country/AUT,2004-11,2478,0,2577,83,5598
country/AUT,2004-10,1988,0,2676,75,5306
country/AUT,2016-10,1746,0,2867,512,6034
country/AUT,2012-04,1434,0,3525,243,5706
country/AUT,2005-06,1690,0,3623,121,4992
country/AUT,2015-06,687,0,4572,341,5493
country/AUT,2015-07,1003,0,3634,335,5689
country/AUT,2015-04,1299,0,3631,606,5876
