"dcid","name","foundingDate","location","url","cik"
"CKK88E24733DTGIKLS94","","","geoId/78030","","0001525605"
"549300Y6A4A01HT32554","","","wikidataId/Q727","","0001511384"
"KNG3XRAA0RHN9H62OK76","","1990-01-01","geoId/10","http://www.warnermediagroup.com","0001105705"
"ABI575BLVRNZNB173H23","","","","","0001454984"
"54930078MCT017XXRD21","","1920-01-01","","http://www.forestcity.net/","0001647509"
"61B0X5PCKJQEYV9OPR89","","","","","0001454984"
"549300NUB6D2R1ITYR45","","1923-01-01","geoId/4454640","http://www.hasbro.com","0000046080"
"AUHIXNGG7U2U7JEHM527","","1996-02-06","geoId/0677000","http://www.juniper.net/company","#0001043604"
"549300PSHWOM1D1JVL23","","1812-06-16","","http://www.citigroup.com/","0000831001"
"INR2EJN1ERAN0W5ZP974","Microsoft Corporation","1976-11-26","geoId/5357535","https://www.microsoft.com/","0000789019"
"M35WBEXQYIYXS60OGD30","","2001-01-01","geoId/0644000","https://www.hwcm.com/","0001164833"
"0TCB85ZKZQTTX9T8EV22","","1993-01-01","geoId/5363000","https://www.realnetworks.com/","0001046327"
"HWUPKR0MPOU8FGXBT394","Apple Inc.","1976-04-01","geoId/0617610","https://www.apple.com/","0000320193"
"X0ST5BPF0CZG9FE5OV61","","2006-01-03","","http://www.viacom.com/","0001339947"
"FGLT0EWZSUIRRITFOA30","","1890-01-01","geoId/29510","http://www.emerson.com","0000032604"
"OQSJ1DU9TAOC51A47K68","","1971-03-30","geoId/5363000","https://www.starbucks.com","0000829224"
"549300O7A67PUEYKDL45","Electronic Arts, Inc.","1982-05-28","geoId/06","https://www.ea.com","0000712515"
"VGRQXHF3J8VDLUA7XE92","","1911-01-01","geoId/3602649","https://www.ibm.com/uk-en","0000051143"
"6SHGI4ZSSLCXXQSBB395","","1812-06-16","","http://www.citigroup.com/","0000831001"
