id,officialName,lei,name,foundingDate,founder,location,website,cik
wd:Q245772,,,,"""2007-07-01T00:00:00Z""^^xsd:dateTime",wd:Q729842,geoId/0667000,http://zynga.com,0001439404
wd:Q5532852,,,,"""1990-01-01T00:00:00Z""^^xsd:dateTime",,geoId/0617918,http://www.genesys.com,#0001036436
wd:Q4687535,,,,"""1995-01-01T00:00:00Z""^^xsd:dateTime",wd:Q5277654,wikidataId/Q71,http://minervabunkering.com,0001344376
wd:Q4687535,,,,"""2005-01-01T00:00:00Z""^^xsd:dateTime",wd:Q5277654,wikidataId/Q71,http://minervabunkering.com,0001344376
wd:Q1531473,,,,"""1961-01-01T00:00:00Z""^^xsd:dateTime",,geoId/0669112,https://www.poly.com/,0000914025
wd:Q1531473,,,,"""1961-01-01T00:00:00Z""^^xsd:dateTime",,geoId/0669112,https://www.plantronics.com/,0000914025
wd:Q21189333,,,,"""2015-01-01T00:00:00Z""^^xsd:dateTime",,,http://www.fig.co,0001658966
wd:Q21016487,,,,"""2015-01-01T00:00:00Z""^^xsd:dateTime",,geoId/5167000,http://www.westrock.com/en-us/index.html,0001732845
wd:Q381134,,,,"""2002-01-01T00:00:00Z""^^xsd:dateTime",,geoId/3260600,http://www.aerionsupersonic.com/,0001387158
wd:Q191715,,KNG3XRAA0RHN9H62OK76,,"""1990-01-01T00:00:00Z""^^xsd:dateTime",wd:Q7609592,geoId/3651000,http://www.warnermediagroup.com,0001105705
wd:Q191715,,KNG3XRAA0RHN9H62OK76,,"""1990-01-01T00:00:00Z""^^xsd:dateTime",wd:Q7609592,geoId/10,http://www.warnermediagroup.com,0001105705
wd:Q52153177,,,,"""2016-01-01T00:00:00Z""^^xsd:dateTime",,country/USA,https://www.osgoodemedia.com,0001769379
wd:Q65356059,,CKK88E24733DTGIKLS94,,,wd:Q2904131,geoId/78030,,0001525605
wd:Q216272,,,,"""2006-04-01T00:00:00Z""^^xsd:dateTime",wd:Q13377793,geoId/0649670,https://www.23andme.com,0001414053
wd:Q216272,,,,"""2006-04-01T00:00:00Z""^^xsd:dateTime",wd:Q2069744,geoId/0649670,https://www.23andme.com,0001414053
wd:Q216272,,,,"""2006-04-01T00:00:00Z""^^xsd:dateTime",wd:Q2069573,geoId/0649670,https://www.23andme.com,0001414053
wd:Q7624104,,,,"""2010-01-01T00:00:00Z""^^xsd:dateTime",wd:Q7146257,geoId/06,http://stripe.com,0001691342
wd:Q7624104,,,,"""2010-01-01T00:00:00Z""^^xsd:dateTime",wd:Q7146257,geoId/0667000,http://stripe.com,0001691342
wd:Q7624104,,,,"""2010-01-01T00:00:00Z""^^xsd:dateTime",wd:Q16233063,geoId/06,http://stripe.com,0001691342
wd:Q7624104,,,,"""2010-01-01T00:00:00Z""^^xsd:dateTime",wd:Q16233063,geoId/0667000,http://stripe.com,0001691342
wd:Q5519804,,,,"""1987-01-01T00:00:00Z""^^xsd:dateTime",,geoId/1249475,,0000913887
wd:Q6795851,,,,"""2009-01-01T00:00:00Z""^^xsd:dateTime",,geoId/0683346,http://www.maximumgames.com,0001769748
wd:Q80133619,,M35WBEXQYIYXS60OGD30,,"""2001-01-01T00:00:00Z""^^xsd:dateTime",,geoId/0644000,https://www.hwcm.com/,0001164833
wd:Q3133362,,,,"""1995-01-01T00:00:00Z""^^xsd:dateTime",,geoId/5305210,http://www.herinteractive.com/,0001045655
wd:Q17042631,,,,,,,,0001005690
